order_id,customer_id,order_date,categoria,valor_pedido,estado,regiao,idade_cliente,segmento_cliente,dia_semana,mes,trimestre,ano,dia_mes,fim_semana
O009552,C00236,2022-01-01,Esportes,266.33,SP,Sudeste,36,Prata,5,1,1,2022,1,1
O000975,C00433,2022-01-01,Roupas,275.19,BA,Nordeste,18,Platina,5,1,1,2022,1,1
O006287,C00702,2022-01-01,Casa e Jardim,157.23,GO,Centro-Oeste,42,Ouro,5,1,1,2022,1,1
O005841,C00611,2022-01-01,Eletrônicos,1096.48,RJ,Sudeste,53,Prata,5,1,1,2022,1,1
O001821,C00720,2022-01-01,Livros,78.8,DF,Centro-Oeste,45,Platina,5,1,1,2022,1,1
O006895,C00921,2022-01-01,Alimentos,121.18,AM,Norte,40,Platina,5,1,1,2022,1,1
O009896,C00523,2022-01-01,Esportes,547.44,RJ,Sudeste,33,Platina,5,1,1,2022,1,1
O004646,C00269,2022-01-01,Beleza,187.85,AM,Norte,49,Platina,5,1,1,2022,1,1
O001249,C00491,2022-01-01,Livros,89.92,PR,Sul,18,Bronze,5,1,1,2022,1,1
O007801,C00604,2022-01-02,Roupas,50.23,PE,Nordeste,54,Bronze,6,1,1,2022,2,1
O001949,C00621,2022-01-02,Eletrônicos,856.19,PR,Sul,66,Bronze,6,1,1,2022,2,1
O004767,C00680,2022-01-02,Livros,101.16,DF,Centro-Oeste,24,Platina,6,1,1,2022,2,1
O005911,C00587,2022-01-02,Roupas,165.44,CE,Nordeste,43,Ouro,6,1,1,2022,2,1
O008616,C00224,2022-01-02,Casa e Jardim,334.93,SC,Sul,54,Platina,6,1,1,2022,2,1
O009787,C00748,2022-01-02,Livros,47.17,BA,Nordeste,37,Bronze,6,1,1,2022,2,1
O008536,C00723,2022-01-02,Roupas,210.23,RS,Sul,25,Bronze,6,1,1,2022,2,1
O006232,C00689,2022-01-02,Roupas,313.31,BA,Nordeste,22,Ouro,6,1,1,2022,2,1
O000475,C00656,2022-01-02,Alimentos,115.67,PE,Nordeste,38,Prata,6,1,1,2022,2,1
O009421,C00599,2022-01-02,Alimentos,81.2,PE,Nordeste,53,Ouro,6,1,1,2022,2,1
O004082,C00437,2022-01-03,Brinquedos,137.71,AM,Norte,31,Ouro,0,1,1,2022,3,0
O007223,C00986,2022-01-03,Casa e Jardim,541.47,PE,Nordeste,62,Platina,0,1,1,2022,3,0
O000485,C00516,2022-01-03,Casa e Jardim,286.83,RS,Sul,64,Platina,0,1,1,2022,3,0
O008217,C00627,2022-01-03,Livros,13.79,CE,Nordeste,47,Ouro,0,1,1,2022,3,0
O007728,C00313,2022-01-03,Livros,72.09,BA,Nordeste,28,Ouro,0,1,1,2022,3,0
O003312,C00796,2022-01-04,Esportes,219.71,SC,Sul,22,Ouro,1,1,1,2022,4,0
O005875,C00305,2022-01-04,Eletrônicos,558.3,PA,Norte,65,Platina,1,1,1,2022,4,0
O008417,C00302,2022-01-04,Casa e Jardim,10.0,BA,Nordeste,58,Bronze,1,1,1,2022,4,0
O009018,C00773,2022-01-04,Casa e Jardim,42.98,MG,Sudeste,43,Platina,1,1,1,2022,4,0
O007652,C00174,2022-01-04,Brinquedos,132.32,GO,Centro-Oeste,24,Bronze,1,1,1,2022,4,0
O008519,C00831,2022-01-04,Beleza,169.85,SC,Sul,22,Prata,1,1,1,2022,4,0
O002835,C00482,2022-01-05,Brinquedos,196.11,DF,Centro-Oeste,36,Platina,2,1,1,2022,5,0
O007616,C00716,2022-01-05,Eletrônicos,505.02,SP,Sudeste,20,Prata,2,1,1,2022,5,0
O003665,C00666,2022-01-05,Livros,49.6,RJ,Sudeste,22,Prata,2,1,1,2022,5,0
O002865,C00217,2022-01-05,Alimentos,208.03,SC,Sul,66,Ouro,2,1,1,2022,5,0
O009758,C00089,2022-01-05,Alimentos,96.62,RS,Sul,33,Bronze,2,1,1,2022,5,0
O003471,C00761,2022-01-05,Alimentos,49.38,CE,Nordeste,29,Prata,2,1,1,2022,5,0
O006360,C00922,2022-01-05,Alimentos,46.44,RJ,Sudeste,33,Platina,2,1,1,2022,5,0
O009983,C00375,2022-01-06,Beleza,147.26,GO,Centro-Oeste,45,Ouro,3,1,1,2022,6,0
O006339,C00380,2022-01-06,Roupas,249.56,PE,Nordeste,52,Prata,3,1,1,2022,6,0
O006648,C00319,2022-01-06,Esportes,408.72,RJ,Sudeste,37,Platina,3,1,1,2022,6,0
O007266,C00133,2022-01-06,Roupas,233.45,MG,Sudeste,61,Platina,3,1,1,2022,6,0
O000920,C00186,2022-01-06,Eletrônicos,399.02,RJ,Sudeste,37,Platina,3,1,1,2022,6,0
O000462,C00068,2022-01-06,Roupas,211.9,GO,Centro-Oeste,21,Platina,3,1,1,2022,6,0
O007444,C00029,2022-01-06,Alimentos,77.31,GO,Centro-Oeste,42,Prata,3,1,1,2022,6,0
O007851,C00015,2022-01-06,Alimentos,64.6,AM,Norte,41,Platina,3,1,1,2022,6,0
O007149,C00028,2022-01-06,Livros,122.41,DF,Centro-Oeste,61,Ouro,3,1,1,2022,6,0
O004642,C00481,2022-01-06,Casa e Jardim,111.81,GO,Centro-Oeste,34,Platina,3,1,1,2022,6,0
O009922,C00976,2022-01-06,Eletrônicos,999.89,CE,Nordeste,32,Ouro,3,1,1,2022,6,0
O007703,C00202,2022-01-06,Livros,16.28,DF,Centro-Oeste,44,Prata,3,1,1,2022,6,0
O006497,C00093,2022-01-07,Alimentos,165.84,MG,Sudeste,41,Platina,4,1,1,2022,7,0
O006829,C00305,2022-01-07,Beleza,93.37,PA,Norte,65,Platina,4,1,1,2022,7,0
O008667,C00373,2022-01-07,Casa e Jardim,341.44,PA,Norte,34,Ouro,4,1,1,2022,7,0
O004909,C00826,2022-01-07,Beleza,137.88,GO,Centro-Oeste,23,Platina,4,1,1,2022,7,0
O006382,C00620,2022-01-07,Casa e Jardim,425.98,PE,Nordeste,29,Platina,4,1,1,2022,7,0
O004499,C00424,2022-01-07,Alimentos,154.62,PR,Sul,52,Platina,4,1,1,2022,7,0
O006059,C00464,2022-01-07,Roupas,346.64,DF,Centro-Oeste,56,Platina,4,1,1,2022,7,0
O009270,C00255,2022-01-07,Beleza,177.81,PE,Nordeste,33,Platina,4,1,1,2022,7,0
O005745,C00601,2022-01-07,Beleza,175.51,GO,Centro-Oeste,38,Platina,4,1,1,2022,7,0
O008078,C00231,2022-01-07,Roupas,10.0,SC,Sul,40,Ouro,4,1,1,2022,7,0
O008579,C00934,2022-01-08,Brinquedos,53.41,PR,Sul,44,Bronze,5,1,1,2022,8,1
